timestamp,l_shoulder,r_shoulder,l_elbow,r_elbow,chest
1747092049.0938773,"975.10,170.41,-1.47,0.92,0.85,0.55,-49.95,-21.75,34.05,0.72,0.12,-0.68,0.01","885.50,-346.19,-159.42,-1.58,1.16,1.65,-45.60,-40.05,-3.45,0.62,-0.44,-0.62,-0.16","982.42,-135.25,-126.22,-1.46,0.55,-0.12,-20.85,4.50,-25.50,0.39,-0.66,-0.35,-0.54","856.93,-454.59,252.20,0.55,0.37,0.00,-17.70,-34.35,-45.15,0.65,-0.54,-0.28,-0.45","-103.27,897.22,-371.83,-1.16,-0.67,-0.24,8.55,-2.25,-13.20,0.24,0.27,0.78,0.51"
1747092049.1443946,"967.77,164.79,-1.95,0.49,0.43,0.18,-48.90,-22.65,34.20,0.72,0.12,-0.68,0.01","892.09,-354.98,-165.04,-1.95,0.79,1.95,-46.05,-40.65,-3.90,0.62,-0.44,-0.62,-0.16","991.70,-140.38,-125.00,-0.98,0.43,-0.06,-20.85,4.20,-26.25,0.39,-0.66,-0.35,-0.54","865.48,-455.57,251.22,-0.30,0.43,0.43,-17.40,-35.10,-45.45,0.65,-0.54,-0.28,-0.45","-103.27,901.12,-367.92,-1.10,-0.12,0.24,6.75,-3.45,-12.15,0.24,0.27,0.78,0.51"
1747092049.1944087,"977.78,167.72,-8.06,0.55,0.73,0.18,-49.95,-21.00,33.30,0.72,0.12,-0.68,0.00","890.38,-349.37,-151.37,-1.22,1.10,1.58,-45.90,-40.80,-3.75,0.62,-0.44,-0.62,-0.16","985.84,-130.62,-120.12,-2.32,0.49,0.24,-20.25,4.35,-26.10,0.39,-0.66,-0.35,-0.54","864.99,-456.06,256.35,0.18,0.37,0.73,-19.95,-34.95,-46.05,0.65,-0.54,-0.28,-0.45","-104.49,893.80,-366.70,-0.73,-0.12,0.06,9.00,-3.00,-12.45,0.24,0.27,0.78,0.51"
1747092049.2449317,"975.34,166.75,-5.37,1.16,0.61,-0.18,-50.25,-22.20,33.30,0.72,0.12,-0.68,0.00","889.16,-356.20,-164.55,-1.46,1.22,1.89,-47.10,-40.95,-4.95,0.62,-0.44,-0.62,-0.16","992.19,-138.18,-126.22,-1.04,0.18,0.37,-21.60,4.50,-25.50,0.39,-0.66,-0.35,-0.54","873.05,-460.20,259.03,0.67,0.24,0.73,-17.10,-33.45,-46.05,0.65,-0.54,-0.28,-0.45","-110.11,895.75,-362.79,-0.30,-0.55,0.12,8.85,-1.65,-13.50,0.24,0.27,0.78,0.51"
1747092049.2949412,"977.29,161.38,-4.64,0.61,0.79,-0.37,-49.35,-22.65,34.65,0.72,0.12,-0.68,0.00","885.25,-350.83,-158.69,-0.79,0.98,1.65,-46.05,-40.20,-4.65,0.62,-0.44,-0.62,-0.16","986.82,-135.25,-120.85,-1.22,0.37,0.92,-21.30,2.85,-26.85,0.39,-0.66,-0.35,-0.54","860.60,-467.29,258.06,1.04,0.49,0.92,-15.90,-36.15,-45.15,0.65,-0.54,-0.28,-0.45","-108.40,895.51,-360.84,-0.24,-0.12,-0.06,8.40,-2.85,-13.50,0.24,0.27,0.78,0.51"
1747092049.3455107,"974.37,177.49,-9.52,1.58,0.73,-0.49,-48.75,-22.50,35.10,0.72,0.12,-0.68,0.00","885.50,-350.10,-156.98,-0.67,1.40,1.46,-45.15,-40.80,-3.75,0.62,-0.44,-0.62,-0.16","990.23,-133.54,-119.87,-0.55,0.49,1.04,-19.80,4.05,-27.15,0.39,-0.66,-0.35,-0.54","858.89,-454.10,260.01,1.10,0.37,1.16,-17.40,-35.40,-45.45,0.65,-0.54,-0.28,-0.45","-100.10,894.29,-365.23,-0.18,-0.30,0.00,8.55,-1.80,-14.40,0.24,0.27,0.79,0.51"
1747092049.3955176,"974.12,171.39,4.64,-0.18,0.49,-0.73,-50.25,-24.00,32.55,0.72,0.12,-0.68,0.00","891.60,-347.66,-164.55,-1.34,1.46,1.89,-46.65,-41.55,-4.20,0.62,-0.44,-0.62,-0.16","981.69,-131.35,-122.31,-2.07,0.18,0.55,-21.30,2.85,-26.40,0.39,-0.66,-0.35,-0.54","872.56,-458.25,245.60,0.79,0.55,0.73,-17.55,-34.20,-45.30,0.65,-0.54,-0.28,-0.45","-101.07,899.66,-371.34,0.24,-1.04,0.00,9.60,-2.85,-12.30,0.24,0.27,0.79,0.51"
1747092049.4460392,"977.29,167.72,-4.88,1.65,0.55,-0.24,-48.75,-23.25,33.30,0.72,0.12,-0.68,0.00","897.95,-355.71,-159.42,-1.28,1.40,1.77,-45.90,-39.60,-4.80,0.62,-0.44,-0.62,-0.16","987.30,-133.06,-121.09,-1.04,0.37,0.92,-21.00,4.05,-26.85,0.39,-0.66,-0.35,-0.54","868.41,-462.89,254.88,0.24,0.79,0.85,-17.40,-33.90,-45.90,0.65,-0.54,-0.28,-0.45","-106.93,905.03,-357.18,-1.16,0.06,0.00,8.25,-2.25,-13.20,0.24,0.27,0.79,0.51"
1747092049.4960537,"969.24,168.70,-2.93,-0.79,0.61,-0.18,-49.65,-23.85,33.15,0.72,0.12,-0.68,0.00","888.67,-345.70,-161.38,-1.04,1.28,1.89,-45.60,-41.55,-3.45,0.62,-0.44,-0.62,-0.16","985.11,-132.57,-124.51,-2.74,0.18,0.12,-20.85,3.00,-27.30,0.39,-0.66,-0.35,-0.54","862.79,-459.23,247.07,1.16,-0.12,0.98,-15.75,-35.25,-46.35,0.65,-0.54,-0.28,-0.45","-107.67,900.15,-355.47,0.73,0.00,-0.12,9.15,-1.35,-13.80,0.24,0.27,0.79,0.51"
1747092049.5465739,"970.22,159.91,-9.52,1.34,0.85,-0.24,-50.10,-23.40,33.15,0.72,0.12,-0.68,-0.00","892.33,-363.28,-164.06,-2.01,1.58,2.26,-46.65,-39.60,-3.45,0.62,-0.44,-0.62,-0.16","983.15,-127.20,-125.98,-1.40,0.37,1.10,-20.10,4.50,-27.00,0.39,-0.66,-0.35,-0.54","870.61,-462.40,259.03,0.06,0.73,0.85,-16.20,-34.65,-45.15,0.65,-0.54,-0.28,-0.45","-105.71,901.37,-366.21,0.43,0.49,-0.37,8.55,-2.25,-13.20,0.24,0.27,0.79,0.51"
