timestamp,l_shoulder,r_shoulder,l_elbow,r_elbow
1747092052.3695314,"-86.0,0.0,0.0","-82.0,0.0,0.0","-3.0,0.0,0.0","-7.0,0.0,0.0"
1747092052.4198012,"-87.0,0.0,0.0","-82.0,0.0,0.0","-2.0,0.0,0.0","-8.0,0.0,0.0"
1747092052.4707968,"-87.0,0.0,0.0","-81.0,0.0,0.0","-1.0,0.0,0.0","-8.0,0.0,0.0"
1747092052.5213225,"-87.0,0.0,0.0","-81.0,0.0,0.0","-2.0,0.0,0.0","-8.0,0.0,0.0"
1747092052.5713432,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092052.628025,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092052.6782713,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092052.7288058,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092052.7795117,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092052.8295457,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092052.8804588,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092052.9309807,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092052.9815397,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092053.032354,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092053.0829108,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092053.1336308,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092053.1845717,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092053.234698,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092053.284711,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092053.3352664,"-80.0,0.0,0.0","-79.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0"
1747092053.3852718,"-77.0,0.0,0.0","-76.0,0.0,0.0","1.0,0.0,0.0","2.0,0.0,0.0"
1747092053.4357884,"-74.0,0.0,0.0","-75.0,0.0,0.0","0.0,0.0,0.0","5.0,0.0,0.0"
1747092053.4867866,"-70.0,0.0,0.0","-70.0,0.0,0.0","2.0,0.0,0.0","12.0,0.0,0.0"
1747092053.5371134,"-68.0,0.0,0.0","-67.0,0.0,0.0","4.0,0.0,0.0","14.0,0.0,0.0"
1747092053.5881116,"-64.0,0.0,0.0","-59.0,0.0,0.0","11.0,0.0,0.0","14.0,0.0,0.0"
1747092053.6386323,"-60.0,0.0,0.0","-55.0,0.0,0.0","11.0,0.0,0.0","17.0,0.0,0.0"
1747092053.688636,"-52.0,0.0,0.0","-47.0,0.0,0.0","13.0,0.0,0.0","21.0,0.0,0.0"
1747092053.739163,"-48.0,0.0,0.0","-43.0,0.0,0.0","13.0,0.0,0.0","26.0,0.0,0.0"
1747092053.789178,"-45.0,0.0,0.0","-38.0,0.0,0.0","12.0,0.0,0.0","25.0,0.0,0.0"
1747092053.8392148,"-32.0,0.0,0.0","-19.0,0.0,0.0","17.0,0.0,0.0","21.0,0.0,0.0"
1747092053.8902078,"-28.0,0.0,0.0","-13.0,0.0,0.0","15.0,0.0,0.0","20.0,0.0,0.0"
1747092053.9407265,"-24.0,0.0,0.0","-12.0,0.0,0.0","16.0,0.0,0.0","23.0,0.0,0.0"
1747092053.9907303,"-20.0,0.0,0.0","-9.0,0.0,0.0","19.0,0.0,0.0","27.0,0.0,0.0"
1747092054.041118,"-16.0,0.0,0.0","-7.0,0.0,0.0","17.0,0.0,0.0","28.0,0.0,0.0"
1747092054.0921223,"-15.0,0.0,0.0","-3.0,0.0,0.0","21.0,0.0,0.0","26.0,0.0,0.0"
1747092054.142648,"-13.0,0.0,0.0","0.0,0.0,0.0","21.0,0.0,0.0","24.0,0.0,0.0"
1747092054.1926556,"-12.0,0.0,0.0","0.0,0.0,0.0","22.0,0.0,0.0","24.0,0.0,0.0"
1747092054.2431865,"-12.0,0.0,0.0","0.0,0.0,0.0","22.0,0.0,0.0","24.0,0.0,0.0"
1747092054.2931912,"-12.0,0.0,0.0","0.0,0.0,0.0","21.0,0.0,0.0","23.0,0.0,0.0"
1747092054.3432214,"-12.0,0.0,0.0","-1.0,0.0,0.0","20.0,0.0,0.0","23.0,0.0,0.0"
1747092054.3952136,"-12.0,0.0,0.0","-2.0,0.0,0.0","19.0,0.0,0.0","23.0,0.0,0.0"
1747092054.4457529,"-12.0,0.0,0.0","-2.0,0.0,0.0","19.0,0.0,0.0","22.0,0.0,0.0"
1747092054.4967506,"-13.0,0.0,0.0","-3.0,0.0,0.0","19.0,0.0,0.0","23.0,0.0,0.0"
1747092054.5469368,"-12.0,0.0,0.0","-3.0,0.0,0.0","19.0,0.0,0.0","23.0,0.0,0.0"
1747092054.5979364,"-12.0,0.0,0.0","-4.0,0.0,0.0","18.0,0.0,0.0","24.0,0.0,0.0"
1747092054.6479745,"-12.0,0.0,0.0","-4.0,0.0,0.0","18.0,0.0,0.0","25.0,0.0,0.0"
1747092054.697988,"-12.0,0.0,0.0","-5.0,0.0,0.0","18.0,0.0,0.0","25.0,0.0,0.0"
1747092054.7482996,"-12.0,0.0,0.0","-5.0,0.0,0.0","18.0,0.0,0.0","25.0,0.0,0.0"
1747092054.7988229,"-12.0,0.0,0.0","-5.0,0.0,0.0","18.0,0.0,0.0","25.0,0.0,0.0"
1747092054.849351,"-12.0,0.0,0.0","-5.0,0.0,0.0","18.0,0.0,0.0","25.0,0.0,0.0"
1747092054.8993623,"-12.0,0.0,0.0","-5.0,0.0,0.0","18.0,0.0,0.0","26.0,0.0,0.0"
1747092054.9494014,"-12.0,0.0,0.0","-5.0,0.0,0.0","18.0,0.0,0.0","26.0,0.0,0.0"
1747092054.9994075,"-12.0,0.0,0.0","-5.0,0.0,0.0","18.0,0.0,0.0","26.0,0.0,0.0"
1747092055.049935,"-12.0,0.0,0.0","-5.0,0.0,0.0","18.0,0.0,0.0","26.0,0.0,0.0"
1747092055.0999486,"-12.0,0.0,0.0","-5.0,0.0,0.0","18.0,0.0,0.0","26.0,0.0,0.0"
1747092055.1499963,"-12.0,0.0,0.0","-6.0,0.0,0.0","18.0,0.0,0.0","27.0,0.0,0.0"
1747092055.2000048,"-12.0,0.0,0.0","-6.0,0.0,0.0","17.0,0.0,0.0","27.0,0.0,0.0"
1747092055.250056,"-12.0,0.0,0.0","-6.0,0.0,0.0","17.0,0.0,0.0","27.0,0.0,0.0"
1747092055.3005238,"-12.0,0.0,0.0","-6.0,0.0,0.0","17.0,0.0,0.0","27.0,0.0,0.0"
1747092055.3510416,"-13.0,0.0,0.0","-6.0,0.0,0.0","17.0,0.0,0.0","27.0,0.0,0.0"
1747092055.4010553,"-13.0,0.0,0.0","-6.0,0.0,0.0","17.0,0.0,0.0","28.0,0.0,0.0"
1747092055.4515815,"-13.0,0.0,0.0","-7.0,0.0,0.0","16.0,0.0,0.0","28.0,0.0,0.0"
1747092055.501593,"-13.0,0.0,0.0","-7.0,0.0,0.0","16.0,0.0,0.0","28.0,0.0,0.0"
1747092055.552112,"-13.0,0.0,0.0","-7.0,0.0,0.0","16.0,0.0,0.0","28.0,0.0,0.0"
1747092055.602115,"-14.0,0.0,0.0","-7.0,0.0,0.0","15.0,0.0,0.0","28.0,0.0,0.0"
1747092055.652639,"-14.0,0.0,0.0","-7.0,0.0,0.0","15.0,0.0,0.0","28.0,0.0,0.0"
